name, scientificName
Alliums,Allium
Alyssum,Lobularia maritima
Anise,Pimpinella anisum
Apple,Malus domestica
Apricot,Prunus armeniaca
Asparagus,Asparagus officinalis
Baby's breath,Gypsophila paniculata
Basil,Ocimum basilicum
Beans and other legumes,Phaseolus andVicia
"Beans, Bush",Phaseolus vulgaris
"Beans, Pole",Uncertain (see talk page)
Beets,Beta vulgaris
Blueberries,Vaccinium spp.
Borage,Borago officinalis
Brassicas,Brassica
Broccoli,Brassica oleracea
Brussels Sprouts,Brassica oleracea
Cabbage,Brassica oleracea /Brassica chinensis
California Poppy,Eschscholzia californica
Caraway,Carum carvi
Carrots,Daucus carota
Catnip,Nepeta cataria
Cauliflower,Brassica oleracea
Celery,Apium graveolens
Chamomile,Matricaria recutita
Chervil,Anthriscus cerefolium
Chives,Allium schoenoprasum
Cilantro / Coriander,Coriandrum sativum
Corn / Maize,Zea mays
Cucumber,Cucumis sativus
Cucurbits,Cucurbitaceae
Dill,Anethum graveolens
Eggplant orAubergine,Solanum melongena
Fennel,Foeniculum vulgare
Flowersedit,
Fruit Trees,various
Fruitedit,
Garlic,Allium sativum
Geraniums,Pelargoniumspp.
Grapes,Vitis spp.
Herbsedit,
Hyssop,Hyssopus officinalis
Kohlrabi,Brassica oleracea v. gongylodes
Lavender,"Lavandula angustifolia, L. dentata, L. stoechas"
Leek,Allium ampeloprasum v. porrum
Lemon Grass,Cymbopogon citratus
Lettuce,Lactuca sativa
Lovage,Levisticum officinale
Lupin,Lupinus
Marigold,"Tagetes patula, T. erecta, T. minuta"
Mustard,Sinapis alba
Nasturtium,Tropaeolum majus
Nightshades,Solanaceae
Okra,Abelmoschus esculentus
Onion,Allium cepa
Oregano,Origanum vulgare
Otheredit,
Pansy,Viola x wittrockiana
Parsley,Petroselinum crispum
Parsnip,Pastinaca sativa
Passion fruit,Passiflora edulis
Pears,Pyrus spp.
Peas,Pisum sativum
Peppermint,Mentha piperita
Peppers,"Solanaceae,Capsicum"
Petunia,Petunia x hybrida
Potato,Solanum tuberosum
Pumpkin,Cucurbita pepo
Radish,Raphanus sativus
Rosemary,Rosmarinus officinalis
Sage,Salvia officinalis
Southernwood,Artemisia abrotanum
Soybean,Glycine max
Spearmint,Mentha spicata
Spinach,Spinacia oleracea
Squash,Cucurbita spp
Stinging nettle,Urtica dioica
Strawberries,Fragaria × ananassa
Summer Savoury,Satureja hortensis
Sunflower,Helianthus annuus
Swan plant,"Gomphocarpus physocarpus, Asclepias physocarpa, Milkweed"
Sweet pea,Lathyrus odoratus
Sweet Potato,Ipomoea batatas
Tansy,Tanacetum vulgare
Tarragon,Artemisia dracunculus
Thyme,Thymus vulgaris
Tomatoes,Solanum lycopersicum
Turnips andRutabagas,Brassica rapa and Brassica napobrassica
Walnut Tree,Juglans spp.
Wormwood,Artemisia absinthium
Yarrow,Achillea millefolium
Zinnia,Zinnia
